group,name,result
al_randread,blk-nosev.json,26164.687095
al_randread,nvme-nosev.json,25059.172163
al_randread,scsi-nosev.json,21210.777571
al_randwrite,blk-nosev.json,23695.561783
al_randwrite,nvme-nosev.json,23948.839759
al_randwrite,scsi-nosev.json,20395.549677
al_read,blk-nosev.json,27295.293628
al_read,nvme-nosev.json,23225.303446
al_read,scsi-nosev.json,23307.90433
al_write,blk-nosev.json,25066.360681
al_write,nvme-nosev.json,22799.095495
al_write,scsi-nosev.json,21161.123668
