"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","101522.84","0.257","0.064","0.255","0.287","0.399","0.911"
"PING_MBULK","95238.10","0.273","0.072","0.271","0.303","0.447","0.671"
"SET","91911.76","0.283","0.072","0.279","0.319","0.463","0.631"
"GET","94339.62","0.275","0.056","0.271","0.311","0.447","0.567"
"INCR","93196.65","0.279","0.056","0.279","0.311","0.463","0.615"
"LPUSH","95238.10","0.273","0.072","0.271","0.303","0.455","0.615"
"RPUSH","96618.36","0.270","0.072","0.271","0.295","0.431","0.551"
"LPOP","93283.58","0.279","0.072","0.279","0.311","0.455","0.583"
"RPOP","95057.03","0.274","0.064","0.271","0.319","0.447","0.983"
"SADD","95877.28","0.271","0.064","0.271","0.311","0.447","0.591"
"HSET","95328.88","0.273","0.080","0.271","0.311","0.439","0.831"
"SPOP","101729.40","0.256","0.064","0.255","0.287","0.407","0.559"
"ZADD","99502.48","0.262","0.072","0.263","0.287","0.431","0.567"
"ZPOPMIN","95147.48","0.273","0.056","0.271","0.311","0.447","0.631"
"LPUSH (needed to benchmark LRANGE)","96899.23","0.268","0.072","0.263","0.303","0.439","0.551"
"LRANGE_100 (first 100 elements)","64850.84","0.396","0.208","0.391","0.439","0.535","0.823"
"LRANGE_300 (first 300 elements)","29411.76","0.855","0.344","0.847","0.951","1.023","1.959"
"LRANGE_500 (first 500 elements)","21602.94","1.157","0.344","1.159","1.255","1.343","2.999"
"LRANGE_600 (first 600 elements)","18772.29","1.326","0.336","1.327","1.431","1.511","3.535"
"MSET (10 keys)","98328.42","0.298","0.072","0.279","0.447","0.559","0.951"
